"zcta5","state","puma12","stab","zipname","PUMAname","intptlon","intptlat","pop16","afact"
"ZIP census tabulation area","State code","PUMA (2012)","State abbreviation","ZCTA name","PUMA12 name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Population (2016 est.)","zcta5 to puma12 allocation factor"
"20674","24","01500","MD","Piney Point, MD","St. Marys & Calvert Counties",-76.502755,38.138321,888.6954,1 
"20675","24","01600","MD","Bensville, MD","Charles County--La Plata Town & Waldorf",-77.013615,38.584151,1798.179849,1 
"20676","24","01500","MD","Port Republic, MD","St. Marys & Calvert Counties",-76.541844,38.482996,3980.668954,1 
"20677","24","01600","MD","Port Tobacco, MD","Charles County--La Plata Town & Waldorf",-77.038887,38.507116,2498.727474,1 
"20678","24","01500","MD","Prince Frederick, MD","St. Marys & Calvert Counties",-76.588131,38.533316,11357.914906,1 
"20680","24","01500","MD","Ridge, MD","St. Marys & Calvert Counties",-76.368609,38.114604,1198.132714,1 
"20684","24","01500","MD","Saint Inigoes, MD","St. Marys & Calvert Counties",-76.402046,38.153238,1204.557018,1 
"20685","24","01500","MD","Saint Leonard, MD","St. Marys & Calvert Counties",-76.508656,38.453902,6654.329321,1 
"20686","24","01500","MD","Saint Marys City, MD (PO Boxes)","St. Marys & Calvert Counties",-76.427397,38.188277,1426.195509,1 
"20687","24","01500","MD","Scotland, MD","St. Marys & Calvert Counties",-76.34817,38.079827,335.13453,1 
"20688","24","01500","MD","Solomons, MD","St. Marys & Calvert Counties",-76.463212,38.341238,1879.788904,1 
"20689","24","01500","MD","Sunderland, MD","St. Marys & Calvert Counties",-76.584783,38.663611,1741.992562,1 
"20690","24","01500","MD","Tall Timbers, MD","St. Marys & Calvert Counties",-76.530197,38.160641,792.330839,1 
"20692","24","01500","MD","Valley Lee, MD","St. Marys & Calvert Counties",-76.496595,38.191861,1125.323934,1 
"20693","24","01600","MD","Welcome, MD","Charles County--La Plata Town & Waldorf",-77.095408,38.478213,1170.807705,1 
"20695","24","01600","MD","Waldorf, MD","Charles County--La Plata Town & Waldorf",-76.97898,38.600843,7311.091497,1 
"20701","24","00902","MD","Annapolis Junction, MD","Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge",-76.799422,39.13205,2.210028,1 
"20705","24","01006","MD","Beltsville, MD","Montgomery County (East)--Fairland, Calverton, White Oak & Burtonsville",-76.956466,39.043553,181.536347,0.00659 
"20705","24","01102","MD","Beltsville, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.923147,39.047939,27363.886557,0.993409 
"20706","24","01102","MD","Seabrook, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.846547,38.981965,17442.255988,0.428642 
"20706","24","01103","MD","Seabrook, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.885275,38.969319,5626.53419,0.138271 
"20706","24","01104","MD","Seabrook, MD","Prince Georges County (Central)--Seat Pleasant City, Capitol Heights Town & Landover",-76.863977,38.930792,5553.967674,0.136488 
"20706","24","01105","MD","Seabrook, MD","Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.844047,38.960865,12069.178759,0.296599 
"20707","24","01006","MD","Laurel, MD","Montgomery County (East)--Fairland, Calverton, White Oak & Burtonsville",-76.907609,39.111063,320.105512,0.009649 
"20707","24","01102","MD","Laurel, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.870211,39.096958,32854.752913,0.990351 
"20708","24","01102","MD","South Laurel, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.847474,39.0678,26866.437833,1 
"20710","24","01103","MD","Bladensburg, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.920701,38.942617,9794.376244,1 
"20711","24","01204","MD","Lothian, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.663116,38.80737,7022.189798,1 
"20712","24","01103","MD","Mount Rainier, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.96516,38.944456,9497.80005,1 
"20714","24","01204","MD","North Beach, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.541056,38.725102,956.658402,0.212869 
"20714","24","01500","MD","North Beach, MD","St. Marys & Calvert Counties",-76.53791,38.708139,3537.458332,0.787131 
"20715","24","01102","MD","Bowie, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.764552,39.014742,3407.471173,0.122811 
"20715","24","01105","MD","Bowie, MD","Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.741756,38.978761,24338.178358,0.877189 
"20716","24","01105","MD","Bowie, MD","Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.728143,38.930454,21861.451626,1 
"20720","24","01102","MD","Bowie, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.788307,39.005134,5035.485178,0.227664 
"20720","24","01105","MD","Bowie, MD","Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.788048,38.964154,17082.578475,0.772336 
"20721","24","01105","MD","Lake Arbor, MD","Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.798564,38.916145,28412.420125,1 
"20722","24","01103","MD","Brentwood, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.952075,38.939955,6006.193786,1 
"20723","24","00901","MD","Scaggsville, MD","Howard County (West)--Columbia (West) & Ellicott City (Northwest)",-76.905993,39.146095,321.559131,0.010044 
"20723","24","00902","MD","Scaggsville, MD","Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge",-76.856009,39.129662,31692.91211,0.989955 
"20724","24","01201","MD","Maryland City, MD","Anne Arundel County (Northwest)--Severn, Odenton, Crofton, Maryland City & Fort Meade",-76.809539,39.10146,17011.606265,1 
"20732","24","01500","MD","Chesapeake Beach, MD","St. Marys & Calvert Counties",-76.542679,38.675323,10200.014301,1 
"20733","24","01204","MD","Deale, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.52367,38.802509,2824.52072,1 
"20735","24","01106","MD","Clinton, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.899575,38.755226,37251.86309,1 
"20736","24","01204","MD","Owings, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.6161,38.725662,13.742054,0.001501 
"20736","24","01500","MD","Owings, MD","St. Marys & Calvert Counties",-76.615946,38.695534,9142.890125,0.998499 
"20737","24","01103","MD","East Riverdale, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.915,38.960022,21753.127697,1 
"20740","24","01101","MD","College Park, MD","Prince Georges County (Northwest)--College Park City & Langley Park",-76.930139,38.996347,25910.452865,0.856046 
"20740","24","01102","MD","College Park, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.923335,39.021118,1884.626031,0.062265 
"20740","24","01103","MD","College Park, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.917275,38.983864,2472.519978,0.081689 
"20742","24","01101","MD","College Park, MD","Prince Georges County (Northwest)--College Park City & Langley Park",-76.945343,38.990019,8211.584851,1 
"20743","24","01103","MD","Coral Hills, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.932162,38.912746,134.616145,0.003314 
"20743","24","01104","MD","Coral Hills, MD","Prince Georges County (Central)--Seat Pleasant City, Capitol Heights Town & Landover",-76.905853,38.886056,38060.611649,0.937055 
"20743","24","01105","MD","Coral Hills, MD","Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.843643,38.862406,803.490116,0.019782 
